f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
4292.820313,4195.384277,4197.436035,4257.436035,4177.94873,4168.717773,4154.358887,4203.07666,4176.922852,4192.820313,4149.743652,4162.563965,4194.358887,4151.281738
4286.666504,4186.666504,4222.563965,4256.922852,4190.256348,4171.794922,4163.589844,4198.461426,4178.974121,4190.769043,4147.692383,4176.922852,4214.871582,4153.846191
4293.333008,4193.846191,4180.512695,4268.205078,4185.12793,4191.281738,4164.102539,4202.563965,4189.230469,4189.743652,4149.743652,4177.436035,4243.07666,4154.358887
4307.692383,4198.974121,4200,4270.256348,4191.281738,4185.641113,4165.12793,4204.102539,4194.358887,4190.769043,4143.589844,4169.230469,4236.410156,4149.743652
4298.974121,4190.769043,4196.922852,4255.384277,4188.717773,4173.846191,4158.974121,4191.281738,4192.820313,4191.794922,4137.94873,4166.666504,4225.12793,4147.692383
4282.05127,4184.615234,4162.563965,4260.512695,4174.871582,4177.436035,4149.743652,4184.102539,4194.871582,4193.846191,4142.563965,4163.07666,4236.410156,4159.487305
4294.358887,4180.512695,4225.12793,4272.820313,4195.384277,4187.179199,4167.179199,4185.641113,4187.692383,4192.820313,4146.153809,4183.589844,4233.846191,4172.307617
4297.94873,4176.410156,4192.307617,4257.94873,4193.846191,4197.94873,4166.153809,4184.102539,4177.436035,4189.743652,4147.179199,4180.512695,4214.871582,4167.179199
4292.820313,4173.846191,4175.897461,4238.974121,4184.615234,4188.205078,4157.94873,4185.12793,4175.384277,4191.794922,4149.230469,4171.794922,4212.307617,4160.512695
4294.358887,4190.256348,4204.102539,4248.717773,4191.794922,4169.230469,4154.871582,4190.769043,4173.333008,4192.307617,4146.153809,4178.461426,4230.256348,4159.487305
4294.358887,4212.820313,4194.871582,4261.025391,4204.102539,4175.384277,4151.794922,4188.205078,4168.717773,4189.230469,4136.410156,4172.820313,4229.230469,4151.794922
4294.871582,4205.12793,4214.358887,4257.94873,4210.256348,4183.07666,4167.179199,4182.563965,4166.153809,4192.307617,4134.358887,4174.358887,4207.179199,4140.512695
4288.717773,4192.307617,4168.717773,4262.05127,4184.615234,4177.436035,4162.563965,4190.769043,4176.410156,4192.307617,4140,4164.102539,4210.256348,4136.922852
4295.384277,4199.487305,4185.12793,4263.07666,4184.102539,4178.974121,4155.384277,4205.641113,4188.717773,4191.281738,4143.07666,4159.487305,4232.820313,4142.05127
4297.436035,4200.512695,4221.025391,4246.666504,4195.897461,4177.94873,4160,4200,4190.769043,4192.820313,4140.512695,4167.179199,4238.461426,4149.743652
4283.589844,4192.820313,4176.410156,4233.846191,4185.641113,4170.256348,4155.384277,4184.615234,4189.743652,4190.769043,4140,4154.871582,4228.205078,4151.794922
4290.256348,4188.717773,4200,4227.179199,4194.358887,4182.563965,4163.589844,4191.281738,4194.871582,4191.281738,4150.256348,4162.05127,4224.615234,4151.281738
4291.794922,4188.717773,4166.153809,4212.307617,4190.256348,4192.307617,4158.461426,4205.641113,4197.436035,4190.769043,4156.922852,4166.153809,4241.538574,4158.974121
4283.07666,4191.794922,4154.358887,4194.871582,4191.281738,4181.538574,4156.410156,4196.922852,4181.025391,4191.281738,4147.692383,4161.025391,4245.641113,4170.256348
4289.230469,4196.922852,4202.05127,4190.256348,4199.487305,4182.05127,4165.641113,4185.12793,4170.769043,4193.333008,4144.615234,4173.333008,4223.589844,4171.794922
4294.358887,4198.461426,4180.512695,4183.589844,4192.307617,4190.769043,4158.461426,4188.717773,4178.461426,4193.333008,4152.820313,4174.358887,4216.410156,4171.794922
4295.897461,4194.871582,4189.743652,4180.512695,4199.487305,4189.743652,4161.538574,4192.307617,4175.384277,4191.794922,4156.410156,4181.538574,4228.205078,4172.820313
4289.743652,4200,4169.743652,4187.179199,4187.692383,4183.589844,4157.436035,4192.307617,4171.281738,4190.256348,4160,4176.410156,4232.820313,4170.769043
4294.871582,4204.615234,4191.794922,4185.12793,4187.179199,4184.102539,4159.487305,4197.94873,4181.025391,4189.230469,4168.717773,4170.769043,4227.692383,4169.230469
4309.230469,4198.974121,4232.820313,4182.563965,4205.12793,4194.358887,4177.94873,4204.102539,4194.871582,4190.256348,4169.230469,4187.692383,4226.666504,4169.743652
4301.538574,4190.256348,4168.717773,4186.666504,4190.769043,4190.769043,4170.769043,4201.538574,4201.538574,4192.307617,4164.102539,4171.281738,4240,4166.153809
4296.922852,4190.769043,4201.025391,4187.179199,4182.05127,4175.384277,4165.641113,4201.025391,4197.436035,4192.820313,4168.205078,4162.563965,4252.820313,4169.743652
